,name,year_start,year_end,position,height,weight,height_in_meters
528,Kobe Bryant,1997,2016,G,6-6,212.0,1.9812000000000003
529,Mark Bryant,1989,2003,F,6-9,245.0,2.0574000000000003
530,Thomas Bryant,2018,2018,C,6-10,248.0,2.0828
531,Wallace Bryant,1984,1986,C,7-0,245.0,2.1336
532,Torgeir Bryn,1990,1990,C,6-9,250.0,2.0574000000000003
533,George Bucci,1976,1976,G,6-3,200.0,1.9050000000000002
534,Joe Buckhalter,1962,1963,F,6-7,210.0,2.0066
535,Steve Bucknall,1990,1990,G,6-6,215.0,1.9812000000000003
536,Cleveland Buckner,1962,1963,F,6-9,210.0,2.0574000000000003
537,Greg Buckner,2000,2009,G,6-4,210.0,1.9304000000000001
538,Quinn Buckner,1977,1986,G,6-3,190.0,1.9050000000000002
539,Dave Budd,1961,1965,F,6-6,205.0,1.9812000000000003
540,Chase Budinger,2010,2016,F,6-7,209.0,2.0066
541,Walt Budko,1949,1952,F,6-5,220.0,1.9558000000000002
542,Jud Buechler,1991,2002,F,6-6,220.0,1.9812000000000003
543,Rodney Buford,2000,2005,G,6-5,189.0,1.9558000000000002
544,Matt Bullard,1991,2002,F,6-10,215.0,2.0828
545,Reggie Bullock,2014,2018,G,6-7,205.0,2.0066
546,Larry Bunce,1968,1969,C,7-0,240.0,2.1336
547,Greg Bunch,1979,1979,F,6-6,190.0,1.9812000000000003
548,Dick Bunt,1953,1953,G,6-0,170.0,1.8288000000000002
549,Bill Buntin,1966,1966,C,6-7,250.0,2.0066
550,Bill Bunting,1970,1972,F,6-8,200.0,2.032
551,Ticky Burden,1976,1978,G,6-2,185.0,1.8796000000000002
552,Pat Burke,2003,2007,C,6-11,250.0,2.1082
553,Trey Burke,2014,2017,G,6-1,191.0,1.8542000000000003
554,Roger Burkman,1982,1982,G,6-5,175.0,1.9558000000000002
555,Alec Burks,2012,2018,G,6-6,214.0,1.9812000000000003
556,Antonio Burks,2005,2006,G,6-1,200.0,1.8542000000000003
557,Kevin Burleson,2006,2006,G,6-3,205.0,1.9050000000000002
558,Tom Burleson,1975,1981,C,7-2,225.0,2.1844
559,Jack Burmaster,1950,1950,G,6-3,190.0,1.9050000000000002
560,David Burns,1982,1982,G,6-2,180.0,1.8796000000000002
561,Evers Burns,1994,1994,F,6-8,260.0,2.032
562,Jim Burns,1968,1968,G,6-3,195.0,1.9050000000000002
563,Scott Burrell,1994,2001,G,6-7,218.0,2.0066
564,Art Burris,1951,1952,F,6-5,220.0,1.9558000000000002
565,Junior Burrough,1996,1996,F,6-8,242.0,2.032
566,Bob Burrow,1957,1958,C,6-7,228.0,2.0066
567,Ed Burton,1962,1965,F,6-6,225.0,1.9812000000000003
568,Willie Burton,1991,1999,F,6-8,210.0,2.032
569,Steve Burtt,1985,1993,G,6-2,185.0,1.8796000000000002
570,Don Buse,1973,1985,G,6-4,190.0,1.9304000000000001
571,David Bustion,1973,1973,F,6-8,215.0,2.032
572,Donnie Butcher,1962,1966,G,6-2,200.0,1.8796000000000002
573,Al Butler,1962,1965,G,6-2,175.0,1.8796000000000002
574,Caron Butler,2003,2016,F,6-7,228.0,2.0066
575,Greg Butler,1989,1991,C,6-11,240.0,2.1082
576,Jackie Butler,2005,2007,F,6-10,250.0,2.0828
577,Jimmy Butler,2012,2018,F,6-8,236.0,2.032
578,Mike Butler,1969,1972,G,6-2,170.0,1.8796000000000002
579,Mitchell Butler,1994,2004,G,6-5,210.0,1.9558000000000002
580,Rasual Butler,2003,2016,F,6-7,215.0,2.0066
581,Dwight Buycks,2014,2015,G,6-3,190.0,1.9050000000000002
582,Derrick Byars,2012,2012,F,6-7,220.0,2.0066
583,Andrew Bynum,2006,2014,C,7-0,285.0,2.1336
584,Will Bynum,2006,2015,G,6-0,185.0,1.8288000000000002
585,Walter Byrd,1970,1970,F,6-7,205.0,2.0066
586,Marty Byrnes,1979,1983,F,6-7,215.0,2.0066
587,Tommy Byrnes,1947,1951,F,6-3,175.0,1.9050000000000002
588,Michael Bytzura,1947,1947,F,6-1,170.0,1.8542000000000003
589,Zarko Cabarkapa,2004,2006,F,6-11,235.0,2.1082
590,Barney Cable,1959,1964,F,6-7,175.0,2.0066
591,Bruno Caboclo,2015,2018,F,6-9,218.0,2.0574000000000003
592,Jason Caffey,1996,2003,F,6-8,255.0,2.032
593,Michael Cage,1985,2000,F,6-9,224.0,2.0574000000000003
594,Gerry Calabrese,1951,1952,G,6-1,175.0,1.8542000000000003
595,Nick Calathes,2014,2015,G,6-6,213.0,1.9812000000000003
596,Jose Calderon,2006,2018,G,6-3,200.0,1.9050000000000002
597,Adrian Caldwell,1990,1998,F,6-8,265.0,2.032
598,Jim Caldwell,1968,1969,C,6-10,240.0,2.0828
599,Joe Caldwell,1965,1975,F,6-5,195.0,1.9558000000000002
600,Kentavious Caldwell-Pope,2014,2018,G,6-5,205.0,1.9558000000000002
601,Bill Calhoun,1949,1955,F,6-3,180.0,1.9050000000000002
602,Corky Calhoun,1973,1980,F,6-7,210.0,2.0066
603,Demetrius Calip,1992,1992,G,6-1,165.0,1.8542000000000003
604,Tom Callahan,1947,1947,G,6-1,180.0,1.8542000000000003
